hotspot.id	hot_helper	shared	cytoband	chr	start.bp	end.bp	length.bp	number.bps	no.samples	no.del	no.dup	no.inv	no.trn	gistic	hotspot_type	novel_hotspot	fragile	include_as_hotspot	include_comment	to_check	MSK_comment	ER_decision	artifact_comment	annotation	CNV_support	CNV_comment	fusion_overexpressed_driver	limma_driver	expression_comment	additional_analysis	comment	reference	analysis	params	gistic.del.id	gistic.del.genes	gistic.amp.id	gistic.amp.genes
pseudoBinningAll_chr1_16.3Mb	1	unique	p36.21;p36.13	chr1	16274326	16403182	128856	8	8	6	1	1	0	NO	unknown	YES		1	include					SPEN	0	SVs outside of deletion peak	0	0			Lack of overlap between CNV  dels and SV hotspot. No GISTIC peak. Suggested annotation: UNKNOWN		downsampling	i=2-g=6-n=8				
pseudoBinningAll_chr1_92.3Mb	1	unique	p22.1	chr1	92313790	92929768	615978	15	13	8	0	7	0	DEL	driver	KNOWN		1	include					RPL5	1		0	1			"SV hotspot intersects gistic peak, with deletions causing loss of RPL5, but the target gene is not inside the hotspot."	https://www.nature.com/articles/leu2016370	downsampling	i=2-g=6-n=8	1p22.1_DEL_92849301_93621639	GFI1|SNORD21|RPL5|EVI5|MTF2|SNORA66|FAM69A		
pseudoBinningAll_chr1_109.5Mb	1	unique	p13.3	chr1	109495131	109846792	351661	10	10	2	0	2	6	NO	driver	YES		1	include	unknown target or designate as RPL5 because of limma?	"I think here you have a composition of two events. One is associated woth large deletion, and one with RBM15 which is a leukemia driver. I think both are real, but I don't know if they retain the signficance splitting the hotspot in 2 at 110 Mb "	Many of the large events actually also involve RPL5. I will put this as driver.			0	no clear CNV peak	0	0	no driver gene near -- however effect on RPL5 in limma (>5Mb away)	CHECK del involvement of drivers	Hotpot potentially related to  large deletions on 1p - check genes involved		downsampling	i=2-g=6-n=8				
pseudoBinningAll_chr1_144.9Mb	1	unique	q21.1	chr1	144922085	145139394	217309	10	10	1	3	2	4	AMP	unknown	YES		1	include						0		0	0			Breakpoints in SV hotspot do not cause CNV. Different SV types. No clear transcription effect. UNKNOWN significance. 		downsampling	i=2-g=6-n=8			1q21.1_AMP_145086068_145411924	SEC22B|NOTCH2NL|NBPF10
pseudoBinningAll_chr1_160.2Mb	1	unique	q23.2;q23.3	chr1	160247827	161094128	846301	23	19	3	12	3	5	AMP	driver/enhancer	YES		1	include					CD48|LY9|SLAMF1|SLAMF7	1		1	0	Two fusions with overexpression: CD84;SLAMF7 (DUP) and CD48;SLAMF1 (DUP)		GISTIC amplification peak clearly supporting hotspot of focal gains. Event types involving hotspot seem to include gain with or without translocation (templated insertion).		downsampling	i=2-g=6-n=8			1q23.3_AMP_160611801_160794899	CD48|LY9|SLAMF1|SLAMF7
pseudoBinningAll_chr1_246.7Mb	1	unique	q44	chr1	246683188	247332929	649741	16	16	8	1	7	0	AMP	artifact	NO		0	exclude						0						"GISTIC amplification peak, SV hotspot mostly small deletions and inversions without CNV. Likely artifacts/unknown."		downsampling	i=2-g=6-n=8			1q44_AMP_247321901_249250621	hsa-mir-3124|ZNF124|TRIM58|OR1C1|OR2M4|OR2L2|OR2L1P|OR2T1|ZNF692|ZNF672|SH3BP5L|OR2G3|OR2G2|OR2C3|ZNF496|NLRP3|OR2M5|OR2M3|OR2T12|OR14C36|OR2T34|OR2T10|OR2T4|OR2T11|OR2B11|C1orf150|LOC148824|OR2T6|PGBD2|OR2L13|OR14A16|VN1R5|OR6F1|OR2W3|OR2T8|OR2T3|OR2T29|OR2M1P|OR11L1|OR2L8|OR2AK2|OR2L3|OR2M2|OR2T33|OR2M7|OR2G6|OR2T2|OR2T5|OR14I1|OR2T27|OR2T35|OR2W5|OR13G1|LOC646627|MIR3124|MIR3916
pseudoBinningAll_chr10_83.6Mb	1	unique	q23.1	chr10	83623296	84244050	620754	12	10	6	2	1	3	NO	unknown	YES	YES	1	include					NRG3	0	no clear CNV peak	0	0			Real events affecting the large gene NRG3. Associated with ErbB signaling in cancer. Mostly deletions. Fragile site? 	https://www.nature.com/articles/1209699; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5888676/	downsampling	i=2-g=6-n=8				
pseudoBinningAll_chr10_112.1Mb	1	unique	q25.2	chr10	112058990	112652705	593715	17	15	1	7	2	7	AMP	enhancer	YES		1	include						1		0	0		CHECK amplifications transecting PDCD4 gene?	"Strong enhancers, no clear driver gene unless PDCD4 events are loss of function (established TSG). RBM20 muscle specific splicing factor. BBIP1 involved in cilia function. "		downsampling	i=2-g=6-n=8			10q25.2_AMP_112505561_112677799	PDCD4|BBIP1|RBM20|LOC282997|MIR4680
pseudoBinningAll_chr11_98.6Mb	1	unique	q22.1	chr11	98594045	100329047	1735002	41	28	27	5	5	4	NO	driver	KNOWN	CHECK	1	include	BIRC2 or unknown target? Majority of events are focal in potentially ragile gene and do not affect BIRC2. 	birc 2 and 3 without any doubt; I think these were also reported by BCJ Walker; Another gene to check is YAP1 (https://www.nature.com/articles/nm.3562?proof=true&draft=journal)	consider BIRC2 as driver with this hotspot		CNTN5|BIRC2	0	"no clear peak -- hotspot is located on the ""hill"" leading up to the BIRC3-peak"	0	1	limma driver would be BIRC2 if we consider this gene actually involved by this hotspot.		"Deletions in large gene CNTN5, mostly focal. Encoding a neuronal adhesion protein. Fragile site?"		downsampling	i=2-g=6-n=8				
pseudoBinningAll_chr12_27Mb	1	unique	p11.23	chr12	26954842	27159696	204854	14	9	0	9	1	4	NO	driver/enhancer	YES		1	include					ASUN	1		1	0	3x fusion ASUN;ITPR2 (DUP) with overexpression of ASUN.		"ITPR2: IP3 receptor, calcium signalling. ASUN: Crucial regulator of the mitotic cell cycle and development. Three fusions of the two genes with DUP, overexpression of ASUN."		downsampling	i=2-g=6-n=8				
